Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,98.92,0.49,11.47,26.34,0.18,109.8,98.92,0.55,11.77,18.18,0.23,113.51,1.0,111.0,125.9,16.16,3.4,-10.8,-1.91
18,W,96,87,1,0,17,False,99.46,0.48,12.46,26.01,0.15,104.31,99.46,0.5,11.98,20.8,0.21,107.28,2.0,110.9,113.5,16.05,7.74,-8.12,-12.01
9,L,102,130,2,2,17,False,98.27,0.49,14.79,27.23,0.15,102.81,98.27,0.48,11.43,27.09,0.17,106.03,-1.0,99.7,112.9,9.58,6.93,-6.24,-6.98
19,W,110,106,2,1,17,False,100.95,0.49,17.51,30.06,0.18,100.86,100.95,0.5,12.42,21.8,0.18,104.88,-2.0,111.9,111.4,8.89,10.76,-9.86,-12.53
8,W,125,116,3,1,17,False,101.84,0.48,17.69,28.26,0.16,97.51,101.84,0.53,13.73,22.64,0.15,108.3,1.0,109.2,96.6,5.39,6.78,-7.69,-11.3
0,L,105,123,4,3,17,False,100.54,0.52,15.14,23.38,0.13,103.16,100.54,0.57,12.47,21.61,0.19,116.58,3.0,107.9,108.1,15.62,12.71,-7.43,-11.25
7,L,116,134,4,4,17,False,100.2,0.5,14.85,24.04,0.12,100.0,100.2,0.56,12.51,19.81,0.18,113.23,1.0,113.1,114.8,9.77,11.36,-14.65,-16.45
17,L,101,122,4,5,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,101.8,104.3,2.79,13.55,-11.03,-12.27
10,L,101,104,4,6,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,118.8,104.2,8.83,14.13,-10.41,-11.26
6,L,124,136,4,7,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,110.3,119.2,8.6,12.66,-10.38,-11.58
6,W,131,110,4,6,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-5.0,112.3,109.5,7.82,12.66,-8.14,-11.65
7,W,115,110,5,6,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,116.9,113.8,7.82,11.36,-6.5,-15.01
17,L,120,121,6,8,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-3.0,109.0,109.6,5.13,13.51,-6.04,-11.06
24,W,129,93,6,7,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,112.6,108.8,7.82,13.39,-9.58,-14.74
24,W,117,112,7,7,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,115.1,107.0,7.82,9.24,-9.6,-13.86
12,W,116,106,8,7,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,113.8,101.9,7.82,11.5,-8.82,-7.86
27,L,100,105,9,9,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,105.6,109.7,5.13,-9.63,-7.04,-7.3
27,L,112,114,9,10,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,110.3,116.3,7.82,-5.22,-8.98,-5.82
21,W,124,114,9,9,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,104.5,117.0,12.74,4.56,-8.13,-8.66
25,W,121,106,10,9,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,116.8,100.6,12.61,-0.79,-4.73,-10.07
3,L,118,124,11,11,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,117.0,119.4,7.82,4.77,-10.43,-15.66
24,W,127,117,11,10,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,123.2,105.1,12.61,13.39,-5.82,-13.71
13,L,89,133,12,12,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,118.7,107.0,12.61,11.42,-5.9,-9.02
17,W,121,107,12,11,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,110.1,116.0,12.61,0.28,-6.1,-10.84
28,W,142,122,13,11,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-7.0,112.5,105.3,8.21,4.64,-6.87,-13.77
4,W,112,107,14,11,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,115.3,125.7,12.61,9.83,-4.86,-15.55
25,W,146,110,15,11,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,113.9,105.6,12.61,5.78,-4.59,-7.61
14,L,113,115,16,13,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,112.3,127.7,12.61,11.5,-4.54,-3.17
5,W,123,104,16,12,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,101.9,102.4,11.07,-2.43,-3.44,-13.84
10,L,104,106,17,14,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-4.0,118.0,103.4,12.61,14.13,-3.78,-14.47
14,L,115,116,17,15,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,113.2,124.6,12.61,17.29,-5.91,-4.66
27,W,112,105,17,14,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,113.3,111.3,12.61,1.71,-7.88,-10.97
13,W,129,109,18,14,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,116.1,114.4,12.61,7.79,-8.6,-5.92
2,W,112,85,19,14,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,112.0,118.0,12.61,9.48,-8.6,-6.92
17,W,117,106,20,14,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,116.7,118.9,12.61,13.51,-8.6,-13.19
12,L,95,111,21,16,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,109.6,101.3,12.61,11.5,-5.35,-7.82
24,W,133,100,21,15,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,121.6,110.7,11.07,11.0,-9.85,-11.3
9,W,141,105,22,15,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,108.1,106.0,12.61,5.16,-7.52,-10.7
7,L,113,125,23,17,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,118.0,117.4,12.61,14.23,-6.85,-14.02
6,W,118,108,23,16,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,115.1,119.1,1.4,4.21,-11.94,-12.32
6,L,120,125,24,18,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,114.0,116.1,12.61,4.72,-4.24,-13.35
4,W,132,112,24,17,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,115.2,122.6,12.61,8.52,-4.24,-14.09
22,L,109,123,25,19,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-3.0,111.1,111.5,12.61,14.19,-4.24,-7.5
27,W,153,124,25,18,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,117.5,110.3,12.61,-0.37,-4.24,-8.06
19,L,83,107,26,20,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,111.2,112.0,11.07,14.57,-6.67,-13.51
16,L,117,141,26,21,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-8.0,115.3,122.1,12.61,8.54,-9.07,-14.85
1,L,112,118,26,22,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,96.5,107.3,12.61,14.95,-7.52,-14.6
10,W,110,99,26,21,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,121.3,106.9,9.7,14.13,-10.94,-15.76
25,W,114,113,27,21,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,4.0,120.2,104.6,14.1,1.97,-6.2,-11.46
26,W,138,100,28,21,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,110.3,101.2,12.61,7.75,-4.24,-12.57
12,W,117,106,29,21,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,108.8,107.6,12.61,11.5,-6.03,-8.12
13,L,122,139,30,23,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,115.4,118.4,12.61,15.83,-6.03,-14.22
23,W,93,84,30,22,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,5.0,114.8,101.2,11.07,2.94,-7.23,-15.65
14,W,96,87,31,22,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,113.1,116.1,12.61,-0.34,-5.53,-8.81
28,W,133,126,32,22,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,114.1,106.2,12.61,0.41,-5.53,-14.22
10,W,127,105,33,22,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,115.9,107.9,11.09,14.13,-7.23,-14.63
15,L,95,106,34,24,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-4.0,97.6,113.7,11.09,9.21,-7.23,-9.55
3,L,106,114,34,25,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,117.5,118.3,10.67,3.29,-10.94,-18.26
18,W,115,92,34,24,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,110.2,112.5,10.67,-11.86,-8.71,-5.66
11,L,114,123,35,26,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,105.3,113.4,12.61,8.61,-5.71,-10.98
11,W,129,102,35,25,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,107.0,113.4,12.61,9.08,-5.02,-11.34
26,W,139,98,36,25,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,111.9,101.8,12.61,0.92,-5.02,-15.09
21,W,103,95,37,25,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,106.3,117.0,12.61,2.83,-3.58,-14.85
0,W,116,103,38,25,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,109.2,109.3,12.61,3.05,-5.02,-16.22
5,L,95,116,39,27,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,102.1,103.3,12.61,9.09,-5.02,-13.27
12,W,112,104,39,26,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,4.0,113.9,102.2,12.61,9.04,-5.02,-12.91
23,W,126,107,40,26,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,116.8,103.4,14.1,-3.08,-5.22,-15.12
2,W,104,91,41,26,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,112.2,116.5,12.61,15.28,-5.02,-5.56
20,L,106,121,42,28,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-4.0,107.0,107.6,12.61,6.19,-5.02,-10.67
15,W,111,88,42,27,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,97.5,113.4,11.09,4.87,-7.23,-8.61
8,W,114,101,43,27,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,109.6,97.8,11.09,-13.32,-5.72,-8.39
19,L,112,119,44,29,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,110.4,109.6,11.09,14.57,-7.23,-8.11
16,W,107,100,44,28,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,115.2,123.8,11.09,8.17,-7.23,-10.41
1,L,92,104,45,30,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-3.0,98.2,108.8,11.09,19.42,-6.55,-9.99
22,L,111,124,45,31,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,108.8,116.5,11.09,14.19,-8.85,-8.45
20,L,108,117,45,32,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,106.4,108.4,11.09,6.19,-8.85,-9.53
25,L,109,111,45,33,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,124.1,105.2,6.69,-4.99,-7.98,-7.28
22,W,113,105,45,32,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,115.5,119.2,11.09,14.19,-11.3,-8.85
23,W,110,100,46,32,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,116.5,101.3,11.09,-10.6,-11.3,-11.35
24,W,135,123,47,32,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,1.0,120.6,111.5,11.09,10.56,-8.53,-15.64
9,W,114,109,48,32,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,2.0,111.9,111.1,11.09,5.08,-11.33,-12.94
13,L,108,124,49,34,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,115.5,122.5,12.61,15.83,-6.89,-12.64
13,L,106,110,49,35,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,114.1,124.0,12.61,15.83,-6.89,-10.94
24,W,105,98,49,34,17,False,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,3.0,113.6,114.8,11.07,10.56,-8.81,-13.73
19,L,92,94,0,2,17,True,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,112.2,113.9,11.07,14.57,-8.81,-7.81
19,L,92,124,0,3,17,True,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-1.0,103.6,108.3,11.07,14.57,-8.81,-7.81
19,L,85,106,0,4,17,True,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-2.0,103.6,112.5,11.07,14.57,-8.28,-7.81
19,L,89,97,0,5,17,True,100.51,0.5,15.64,25.59,0.14,100.84,100.51,0.54,12.62,21.49,0.18,111.63,-3.0,106.4,113.4,11.07,14.57,-8.81,-7.81
1,L,104,108,0,2,18,False,95.46,0.51,12.22,23.87,0.21,108.45,95.46,0.52,10.37,22.84,0.16,113.39,9.0,103.9,110.9,5.33,19.76,-11.85,-14.56
0,W,126,120,0,1,18,False,95.87,0.54,13.61,22.48,0.19,111.64,95.87,0.5,9.97,22.29,0.19,111.02,3.0,108.2,102.3,5.45,13.57,-11.89,-9.07
5,W,109,91,1,2,18,False,96.1,0.53,12.12,25.0,0.16,113.45,96.1,0.5,11.31,19.8,0.22,107.31,3.0,108.5,103.8,8.37,11.32,-12.9,-11.45
5,L,89,95,2,4,18,False,97.67,0.54,12.04,24.21,0.16,114.53,97.67,0.5,13.55,23.86,0.21,105.71,1.0,109.2,103.0,4.68,7.98,-11.61,-11.35
16,L,105,110,2,5,18,False,100.88,0.53,11.21,20.28,0.15,110.77,100.88,0.49,13.27,22.3,0.21,104.26,-1.0,105.6,108.7,4.02,11.88,-14.05,-11.02
12,W,111,97,2,4,18,False,99.89,0.58,11.84,17.46,0.14,115.51,99.89,0.5,14.32,22.6,0.17,103.18,-3.0,113.7,103.7,9.28,18.48,-13.0,-9.22
25,W,126,105,3,4,18,False,101.11,0.56,12.58,18.41,0.16,112.01,101.11,0.5,13.03,22.92,0.18,105.18,3.0,117.1,107.0,10.17,5.13,-13.17,-10.3
4,W,129,107,4,4,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,103.4,106.7,10.54,11.36,-13.37,-13.56
1,L,98,114,5,6,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,103.4,109.8,6.8,19.42,-10.83,-13.77
0,W,116,114,5,5,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,112.4,110.7,6.8,13.83,-13.47,-10.17
28,W,120,99,6,5,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,4.0,110.7,108.5,6.42,4.64,-10.29,-12.66
4,W,122,108,7,5,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,3.0,108.9,109.0,10.57,11.36,-14.59,-8.69
17,L,100,117,8,7,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,104.7,99.5,10.95,13.51,-13.45,-11.31
15,W,100,98,8,6,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,101.3,101.4,10.95,6.65,-12.06,-11.56
22,L,113,116,9,8,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,2.0,102.0,115.7,10.95,7.62,-12.06,-8.9
4,W,115,91,9,7,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,3.0,120.7,115.3,10.95,13.81,-12.06,-11.07
8,W,118,112,10,7,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,3.0,107.0,95.1,10.95,6.43,-12.06,-4.95
26,W,119,106,11,7,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-4.0,99.8,103.4,10.95,14.57,-12.06,-13.67
16,L,122,146,12,9,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-2.0,102.0,114.5,10.95,8.17,-13.14,-12.96
1,L,123,133,12,10,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,102.6,112.7,10.57,19.42,-11.82,-14.58
26,W,136,130,12,9,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,3.0,107.4,110.9,5.21,14.57,-12.82,-13.71
27,L,113,117,13,11,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,103.3,111.5,5.21,-1.61,-10.27,-10.15
22,W,139,122,13,10,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,102.3,114.2,5.21,15.91,-11.39,-11.84
12,L,122,144,14,12,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,113.6,104.8,5.21,11.5,-11.62,-11.63
13,W,114,109,14,11,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,111.2,110.7,5.21,11.42,-11.58,-8.63
2,W,121,102,15,11,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,7.0,103.8,111.3,8.32,13.19,-11.96,-8.11
16,L,111,130,16,13,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,103.5,115.9,8.32,8.17,-10.17,-14.79
16,W,129,122,16,12,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,107.2,118.0,8.32,8.17,-11.61,-14.87
19,L,120,129,17,14,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,101.9,112.1,8.32,14.57,-10.45,-12.13
20,L,108,117,17,15,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-3.0,111.1,100.7,8.32,3.72,-10.37,-9.68
11,L,126,140,17,16,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-2.0,102.0,101.6,4.17,6.17,-17.81,-9.17
17,W,112,106,17,15,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,106.8,102.4,7.3,13.51,-15.58,-13.19
3,W,116,100,18,15,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-2.0,108.2,108.4,7.3,-0.02,-13.2,-17.49
21,W,128,92,19,15,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,106.5,110.9,7.3,18.25,-13.43,-17.4
28,W,121,105,20,15,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,2.0,107.9,101.0,7.3,4.64,-13.43,-12.62
23,W,112,84,21,15,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,2.0,114.6,110.3,7.3,4.66,-12.62,-8.75
6,L,124,128,22,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-4.0,107.1,88.8,7.3,4.21,-13.86,-12.84
14,W,106,94,22,16,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-2.0,110.8,119.0,-1.49,-6.29,-8.98,0.45
20,L,94,98,23,18,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-2.0,106.2,102.9,-1.49,-7.06,-7.13,-4.88
10,W,109,94,23,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,110.3,99.3,7.3,14.13,-12.62,-13.72
28,W,113,109,24,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,4.0,112.5,103.7,7.3,5.15,-14.33,-13.11
26,W,126,100,25,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,109.7,107.3,7.3,7.59,-12.93,-10.54
2,W,108,103,26,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,2.0,103.9,111.6,4.19,9.48,-11.32,-1.82
7,W,122,84,27,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,3.0,105.3,117.3,4.19,14.23,-11.32,-14.39
15,W,125,109,28,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,101.3,106.1,7.3,16.48,-12.93,-6.1
4,W,113,92,29,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,120.6,119.1,0.05,5.58,-14.45,-17.37
27,W,118,103,30,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,104.9,111.8,0.05,-0.37,-20.49,-8.06
11,W,109,105,31,17,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-3.0,109.2,112.0,0.05,10.95,-20.65,-11.48
13,L,105,113,32,19,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,112.0,111.9,0.05,15.83,-20.65,-13.78
14,W,123,113,32,18,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,111.5,118.6,0.05,-9.89,-20.15,-8.12
6,L,108,122,33,20,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,107.6,92.3,-8.75,8.23,-7.82,-12.07
11,L,111,125,33,21,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,9.0,114.6,108.9,-2.19,9.08,-8.81,-11.04
10,L,103,105,33,22,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,1.0,111.5,99.4,-3.07,8.49,-11.56,-16.58
20,L,100,118,33,23,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-1.0,107.4,99.6,-0.76,0.84,-13.21,-12.99
21,W,110,96,33,22,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,3.0,108.6,117.8,0.05,7.44,-13.92,-11.98
1,L,102,116,34,24,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,-2.0,117.0,119.3,0.05,19.42,-8.68,-10.99
8,W,113,111,34,23,18,False,99.85,0.55,12.08,19.74,0.15,113.03,99.85,0.5,13.25,22.62,0.19,104.92,2.0,109.9,98.6,0.05,3.32,-14.16,-10.59
